Publication Type,Authors,Article Title,Source Title,Volume,Issue,Start Page,End Page,DOI,Publication Date,Publication Year,Abstract,Pass abstract screening?,Abstract Screener?,Measures emperically derived production based on results?,Measures simulation/model derived production based on results?,Results Screener?,"Primary, secondary production or both?",Production unit,Marine or estuarine production?,Other notes,,
C,"Scarborough-Bull, Ann; Love, Milton S.; Schroeder, Donna M.",Artificial reefs as fishery conservation tools: Contrasting the roles of offshore structures between the Gulf of Mexico and the Southern California bight,"RECONCILING FISHERIES WITH CONSERVATION, VOLS I AND II",49,,899,#ERROR!,,2008,2008,"Rigs-to-Reefs is a term used when converting obsolete offshore oil and gas platforms into designated artificial reefs. In Federal waters, there are over 4,000 platforms in the Gulf of Mexico and 23 structures in the Southern California Bight. Platforms in the Gulf of Mexico are concentrated in the north-central and northwestern regions where few natural reefs exist; they harbor unique communities bearing little resemblance to those in the natural surrounding habitat. There is evidence that the artificial habitat supplied by platforms in the Gulf of Mexico has increased the regional carrying capacity for economically important reef fish species such as red snapper. Platforms in the Gulf of Mexico are customary destinations for both commercial and recreational fishing and Rigs-to-Reefs programs of Gulf States are actively expanding each year. Contrary to the Gulf of Mexico experience, California platforms are concentrated in the Santa Barbara Channel area among natural reefs and offshore islands and they harbor fish assemblages that resemble those found in nearby habitats. Observations at natural reefs and platforms off California found that platforms have become refugia for increasingly rare and overfished species, which is thought to be, in part, a result of light to nonexistent fishing pressure at those platforms. Many of the oil and gas structures off California are nearing the end of productive life as sources of oil and gas. Within the next decade important decisions will be made concerning the ultimate fate of the California platforms and the fish populations they support.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Lawrence, J. M.; Fernandes, P. G.",A typology of North Sea oil and gas platforms,SCIENTIFIC REPORTS,12,1,,,10.1038/s41598-022-11975-2,May 16 2022,2022,"Since the commercial exploitation of marine oil and gas reserves began in the middle of the twentieth century, extensive networks of offshore infrastructure have been installed globally. Many of the structures are now nearing the end of their operational lives and will soon require decommissioning, generating renewed interest in their environmental impacts and in the ecological consequences of their removal. However, such work requires selection of a subsample of assets for surveying; censuses of the entire 'population' in any given jurisdiction are practically impossible due to their sheer number. It is important, therefore, that the selected sample is sufficiently representative of the population to draw generalized conclusions. Here, a formal clustering methodology, partitioning around medoids, was used to produce a typology of surface-piercing oil and gas platforms in the North Sea. The variables used for clustering were hydrocarbon product, operational state, platform design and material, and substructure weight. Assessing intra-cluster variability identified 13 clusters as the optimum number. The most important distinguishing variable was platform type, isolating floating platforms first, then concrete gravity-based and then fixed steel. Following clustering, a geographic trend was evident, with oil production more prevalent in the north and gas in the south. The typology allows a representative subset of North Sea oil and gas platforms to be selected when designing a survey, or an assessment of the representativeness of a previously selected subset of platforms. This will facilitate the efficient use of the limited funding available for such studies.",Yes,Ray,No,NA,Ray,NA,NA,NA,,,
J,"ORTEGO, B",BLUE-FACED BOOBIES AT AN OIL PRODUCTION PLATFORM,AUK,95,4,762,763,,1978,1978,,No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Meyer-Gutbrod, Erin L.; Love, Milton S.; Claisse, Jeremy T.; Page, Henry M.; Schroeder, Donna M.; Miller, Robert J.",Decommissioning impacts on biotic assemblages associated with shell mounds beneath southern California offshore oil and gas platforms,BULLETIN OF MARINE SCIENCE,95,4,683,701,10.5343/bms.2018.0077,Oct-19,2019,"The decommissioning of southern California offshore oil and gas platforms will create major economic, engineering, and environmental challenges in the next decade. Platform jackets, conductors, and shell mounds often host a diverse and productive marine community, and among the myriad considerations associated with decommissioning planning, platform operators and federal and state regulatory agencies will consider the ecological value of existing underwater structures as artificial reefs. In the event of partial removal of platform structure, fish assemblages on decommissioned platforms may remain unchanged in areas where structure is left intact. However, on the seafloor beneath the platforms, a mound of debris often called the shell mound will likely change over time if the supply of falling mussels and other organisms from the productive surface part of the structure is removed. In this study, we review shell mound research relevant to decommissioning, including mound formation, contaminant loads, associated biological communities, and transitions following the removal of platform structures at four sites. To address the gap in knowledge of shell mound fish community structure, we used manned submersible and remotely operated vehicle surveys from 1997 to 2013 to estimate the biomass, density, species composition and similarity between shell mounds at 22 southern California platforms. We found a wide range of variability in fish density and shell mound areal extent. Species composition also varied among sites, with three significant community clusters primarily distinguished by species depth preferences. These results will help inform a comprehensive net environmental benefit analysis of southern California offshore platform decommissioning alternatives.",Yes,Ray,No,NA,Ray,NA,NA,NA,"They report fish biomass as a time series, so maybe production can be calculated?",,
J,"Love, Milton S.",Fishes and invertebrates of oil and gas platforms off California: an introduction and summary,BULLETIN OF MARINE SCIENCE,95,4,463,476,10.5343/bms.2019.0043,Oct-19,2019,"This paper serves as an introduction to a symposium on the role that California oil and gas platforms serve as habitats for fishes and invertebrates. As of 2019, there are 27 platforms in state and federal waters off California, and the decommissioning of some of these platforms is imminent. Thus, consideration of whether to completely remove a platform or cut it off at some depth below the sea surface and retain the submerged portion as a reef is a decision that will occur in the near future. The objectives of the 10 papers in this dedicated issue of the Bulletin of Marine Science are to: (1) increase scientific understanding of the inter-and intrarelationships of fish and invertebrate populations at offshore oil and gas platforms and natural reefs within the Southern California Bight; (2) determine the extent of influence of platform assemblages on southern California and the Pacific coast populations of fishes and invertebrates; and (3) synthesize relevant reports, existing peer-reviewed literature, and new data analyses into a single peer-reviewed reference. This introductory paper contains a synopsis of all extant California platforms including information on: (1) the original operator, (2) the current operator of records, (3) the date the platform was installed, (4) the first production date, (5) the platform's distance from shore [including whether it is state or outer continental shelf (OCS) waters], (6) the bottom depth of the platform, (7) the number of well slots, (8) the number of conductors, (9) what the platform produces (oil and/or gas), (10) the platform jacket dimensions [generally at the seafloor (bottom)], (11) the platform's footprint, (12) the midwater surface area, (13) the total removal weight, (14) the platform location, (15) the shell mound size, (16) the shell mound volume, (17) the shell mound height, (18) the center of the shell mound location, and (19) the bottom slope. In addition, we present an overview of all previous research on the biology and ecology of California platform organisms.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Neira, FJ",Summer and winter plankton fish assemblages around offshore oil and gas platforms in south-eastern Australia,ESTUARINE COASTAL AND SHELF SCIENCE,63,4,589,604,10.1016/j.ecss.2005.01.003,Jun-05,2005,"Opportunistic plankton surveys were conducted within a 5-nmi radius of nine offshore oil and gas platforms in Bass Strait, southeastern Australia. in February 1998 and 1999 (summer) and August 1998 (winter). The 108 day-night samples collected alongside (vertical tows) and nearby (surface and oblique tows) platforms yielded 1526 larval and early juvenile fishes representing 55 taxa from 45 families. Epipelagic/mesopelagic taxa dominated the catches, whereas hard/soft habitat-associated taxa were uncommon. Carangidae (36.2%) and Myctophidae (31.5%) dominated in summer and winter, respectively. The most abundant taxon was Trachurus declivis (Carangidae, 35.1%), followed by Bovichtus angustifrons (Bovichtidae, 8.7%), Scomberesox saurus (Scomberesocidae. 3.7%), Centroberyx affinis (Berycidae, 3.0%) and Arripis trutta (Arripidae, 1.7%). Fish concentrations (nos. per 100 in 3) alongside platforms did not differ significantly between day and night across all surveys. Likewise, concentrations nearby platforms in February 1999, including those of T. declivis, did not vary significantly by tow type (surface vs. oblique) or day vs. night. The far greater diversity and abundance recorded in February 1999 are likely the result of upwelling conditions over the eastern Bass Strait shelf during the sampling period, and which were not detected in February 1998. In the absence of data on adult fishes associated with the Bass Strait platforms, and given the limited availability of reefs directly around the area, it could be argued that some of the taxa caught may originate from spawning around neighboring natural reefs, particularly those off the Gippsland coastline and the south-east corner of mainland Australia. However, the prime position of the platforms almost right in the center of a productivity hotspot would have a confounding effect on the potential source(s) of larval fishes in that region of south-eastern Australia. The role of platforms as potential de-facto reefs for juvenile fishes in Bass Strait, as well as spawning areas, is discussed based on the findings of this study, the first on early stages of fishes around oil and gas platforms in Australia. Crown Copyright (c) 2005 Published by Elsevier Ltd. All rights reserved.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish densities,,
J,"Henrion, Max; Bernstein, Brock; Swamy, Surya",A Multi-Attribute Decision Analysis for Decommissioning Offshore Oil and Gas Platforms,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,11,4,594,609,10.1002/ieam.1693,Oct-15,2015,"The 27 oil and gas platforms off the coast of southern California are reaching the end of their economic lives. Because their decommissioning involves large costs and potential environmental impacts, this became an issue of public controversy. As part of a larger policy analysis conducted for the State of California, we implemented a decision analysis as a software tool (PLATFORM) to clarify and evaluate decision strategies against a comprehensive set of objectives. Key options selected for in-depth analysis are complete platform removal and partial removal to 85 feet below the water line, with the remaining structure converted in place to an artificial reef to preserve the rich ecosystems supported by the platform's support structure. PLATFORM was instrumental in structuring and performing key analyses of the impacts of each option (e.g., on costs, fishery production, air emissions) and dramatically improved the team's productivity. Sensitivity analysis found that disagreement about preferences, especially about the relative importance of strict compliance with lease agreements, has much greater effects on the preferred option than does uncertainty about specific outcomes, such as decommissioning costs. It found a near-consensus of stakeholders in support of partial removal and rigs-to-reefs program. The project's results played a role in the decision to pass legislation enabling an expanded California rigs-to-reefs program that includes a mechanism for sharing cost savings between operators and the state. (C) 2015 SETAC",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Snodgrass, Derke J. G.; Orbesen, Eric S.; Walter, John F., III; Hoolihan, John P.; Brown, Craig A.",Potential impacts of oil production platforms and their function as fish aggregating devices on the biology of highly migratory fish species,REVIEWS IN FISH BIOLOGY AND FISHERIES,30,3,405,422,10.1007/s11160-020-09605-z,Sep-20,2020,"This review documents the current state of knowledge and gaps therein, as determined through a survey of published research on relevant topics, regarding the potential impacts of offshore oil production platforms (OPP) on the biology of highly migratory fish species (HMS) which include tunas, swordfish, billfishes, and oceanic sharks. There is a limited amount of published research directly related to HMS and OPPs. This may be due to the relatively recent offshore expansion of the industry and of studies. Most studies have focused on structure-associated species such as rockfishes and snappers. Within the U.S. exclusive economic zone, the most probable areas of interaction between HMS and OPPs occur in the Gulf of Mexico. This report focuses primarily upon this region, while noting that HMS roam the majority of the world's oceans and may interact with petroleum infrastructure in many other locations. With such large stock boundaries it is unlikely that HMS interactions with OPPs will have a significant impact at the stock level, however, there could be impacts at local or regional levels.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Love, Milton S.; Brothers, Edward; Schroeder, Donna M.; Lenarz, William H.",Ecological performance of young-of-the-year blue rockfish (Sebastes mystinus) associated with oil platforms and natural reefs in California as measured by daily growth rates,BULLETIN OF MARINE SCIENCE,80,1,147,157,,Jan-07,2007,"Decommissioning alternatives regarding offshore oil platforms include leaving some or all of the platform structure in place. However, despite the high numbers of fishes that can reside around offshore platforms, little is known about the comparative ecological performance of fishes living on platforms compared to those inhabiting natural habitats. It would be expected that sites where fishes exhibited better growth, increased reproduction, or greater survival rates would be beneficial to regional fish populations. We determined and compared the birthdate distributions and daily growth rates of 116 young-of-the-year (YOY) blue rockfish (Sebastes mystinus Jordan and Gilbert, 1881) among two platforms and two natural reefs in the Santa Barbara Channel region. We found a significant though modest lunar pattern in birthdates where blue rockfish produced (or successfully recruited) more larvae in the week leading up to the full moon. Mean growth rates were significantly different across sites. At one of the two site pairs (platform-natural reef), YOY rockfish growth rates were significantly higher at the platform habitat; there was no statistical difference in growth rates between fish living at the other site pair. This study demonstrates that, as measured by daily growth rates, blue rockfish living around oil and gas production platforms may perform at least as well as those fish living on natural reefs, and supports previous research implying that some platforms may benefit regional fish populations.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish growth and density,,
J,"Claisse, Jeremy T.; Love, Milton S.; Meyer-Gutbrod, Erin L.; Williams, Chelsea M.; Pondella, Daniel J., II",Fishes with high reproductive output potential on California offshore oil and gas platforms,BULLETIN OF MARINE SCIENCE,95,4,515,534,10.5343/bms.2019.0016,Oct-19,2019,"Reproductive output can serve as an important metric to assess the value of a marine habitat as it combines fish densities, size at maturity, and the exponential increase of fecundity with body length. California may permit some portion of the structures of offshore oil and gas platforms to remain in place if a net benefit to the marine environment can be demonstrated. Here we assess habitats at 23 oil and gas platforms in terms of site- and species-specific estimates of potential reproductive output. We identified 17 fish species (15 rockfishes Sebastes spp.) that have potential reproductive output densities (no. eggs m(-2)) on individual platforms that were tens to hundreds of times their average on natural reefs in the study area, with the highest potential reproductive output values being observed on platforms for all but two of these species. These extreme values were typically observed in platform base habitats, and likely result from the combined effects of high levels of fish recruitment to midwater platform habitats, relatively low fishing activity on these structures, and ontogenetic habitat use (depth-specific) patterns that make some platforms better habitats for some species based on the seafloor depth where they are sited. However, spatial variability was also very high across both platform and natural reef sites, induding reproductive potential for almost all focal species being zero at the majority of surveyed sites. The contribution of fish reproductive potential to the discussion of decommissioning alternatives should therefore be considered on a case-by-case basis for each platform in California.",Yes,Ray,No,NA,Ray,NA,NA,NA,They report reproductive output as spatially standardized egg production,,
C,"McGinnis, MV",An analysis of the role of ecological science in offshore Continental Shelf decommissioning policy,"CALIFORNIA AND THE WORLD OCEAN '97 - TAKING A LOOK AT CALIFORNIA'S OCEAN RESOURCES: AN AGENDA FOR THE FUTURE, VOLS 1 AND 2, CONFERENCE PROCEEDINGS",,,1384,1392,,1998,1998,"In California, several offshore oil and gas production facilities in the Outer Continent Shelf (OCS) are nearing the end of, or have ended, their economic lives. Present international, federal and state law requires that offshore structures be completed removed. Complete removal requires significant economic costs to the oil industry, and may have an impact oil the rock reef fish species which have been shown to inhabit the offshore oil and gas structures. In California, the ultimate cultural and ecological impacts of decommissioning has only recently received systematic study. Based on the history of the role of ecological science in the development and implementation of environmental policy, this paper focuses on the factors which will likely influence the role of scientific information in the politics of decommissioning policy making for California's OCS oil and gas structures.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Kasprzak, R. A.",Use of oil and gas platforms as habitat in Louisiana's artificial reef program,Gulf of Mexico Science,16,1,37,45,,"June, 1998",1998,"Louisiana's offshore oil and gas industry began in 1947, when the first well was drilled out of sight of land south of Terrebonne Parish, LA. Today, over 3,837 offshore oil and gas platforms have been installed, producing 25% of the U.S.A.'s natural gas and approximately 13% of its oil. In addition to meeting the world's energy needs, these structures also form one of the world's most extensive de facto artificial reef systems. However, federal regulations require that these structures be removed within 1 yr after the mineral lease is terminated. Disposal of obsolete offshore oil and gas structures is not only a financial liability for private industry, but can also result in a loss of productive marine habitat. In 1986, the Louisiana Fishing Enhancement Act was signed into law in response to the National Fishing Enhancement Act, creating the Louisiana Artificial Reef Program. This program was designed to take advantage of fishing habitat opportunities offered by these obsolete platforms. Since the program's inception, 25 reef sites have been created off Louisiana's coast using the components (jackets and decks) of 71 obsolete platforms. The use of obsolete oil and gas platforms in Louisiana has proved to be highly successful. Their quantity, design, longevity, and stability have provided a number of advantages over the use of traditional artificial reef materials. Participating companies also save money by converting structures into reefs rather than abandoning them onshore. They then are required to donate a portion of the savings to the state to run the artificial reef program. One disadvantage, however, is that the large size of these platforms restricts the distance from shore where they can be placed. To achieve the minimum clearance of 16 m over a submerged structure, as required by the New Orleans (8th) Coast Guard District regulations, the platforms must be placed in waters deeper than 30 m. Waters of this depth are found between 22 km and 115 km from shore on Louisiana's gently sloping continental shelf, making them almost inaccessible to many anglers. Funds generated by the program, however, can be used to develop reefs to closer to shore if alternative low-profile materials are used. Due to the high maintenance costs of both the structure and aids to navigation, the increased liability exposure, and the undetermined cost of removing the structure once it becomes a hazard to public safety and navigation, leaving the structures standing in place has thus far proved not to be a viable option in Louisiana.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Rouse, Sally; Hayes, Peter; Wilding, Thomas A.",Commercial fisheries losses arising from interactions with offshore pipelines and other oil and gas infrastructure and activities,ICES JOURNAL OF MARINE SCIENCE,77,3,1148,1156,10.1093/icesjms/fsy116,MAY-JUN 2020,2020,"Interactions between fishing vessels and oil and gas infrastructure can result in damage to fishing gear, loss of fishing time/access, and risks to crew health and safety. The spatial and temporal patterns characterizing previous incidents (and subsequent losses) between fishers and oil and gas infrastructure were quantified and used to identify key risk factors associated with fisheries losses. Between the years 1989 and 2016, 1590 incidents that resulted in a financial loss, vessel abandonment, or an injury/fatality for UK commercial fishers were recorded. The annual number of recorded incidents decreased by 98.6% over a 27-year period. The majority of past incidences resulted in financial losses (rather than injuries or fatalities) and were associated with interactions between single otter trawlers and oil and gas production-related debris. The odds of an incidence occurring varied according to substrate type and fishing intensity. A risk-model for pipeline-fishing interactions in the Fladen Ground showed that there was significant spatial heterogeneity in the risk of an incident along a pipeline according to the angle and intensity of fishing. The results highlight the need to include the full spectrum of potential losses in fisheries impact assessments associated with the installation and decommissioning of oil and gas assets.",No,Ray,NA,NA,NA,NA,NA,NA,,,
J,"Love, Milton S.; Goldberg, Stephen R.","A Histological Examination of the Ovaries of Pacific Sanddab, Citharichthys sordidus, Captured at Two Oil Platforms and Two Natural Sites in the Southern California Bight",Bulletin Southern California Academy of Sciences,108,2,45,51,10.3160/0038-3872-108.2.45,Aug-09,2009,"A number of the 26 offshore oil and gas platforms off California may be nearing the end of their economic lives. Decisions as to the disposition of these platforms will be based on a number of parameters, including the biological role of the structures. One issue that has arisen is the possible contamination of fishes living around platforms resulting from contaminants released during drilling and production. If significant contamination is occurring, it would be expected to impair the reproductive abilities of impacted fishes. One form of reproductive impairment is atresia, the abnormal reabsorption of oocytes that are destined to be spawned. Atresia has been widely used as an indicator of pollutant-related reproductive impairment in fishes. We examined the occurrence of atretic oocytes in Pacific sanddab, Citharichthys sordidus, collected near two offshore platforms in the Santa Barbara Channel (B and Gilda) and from two natural reference sites (off the east end of Santa Cruz Island and in mid-channel off Rincon). While pronounced atresia was observed in a few fish at one natural site and one platform, there was no evidence of widespread pronounced atresia at any of the four sites.",Yes,Ray,No,NA,Ray,NA,NA,NA,measured fish gonad quality,,
